country,total_cases
Afghanistan,8
Albania,309
Algeria,218
Andorra,0
Angola,26
Anguilla,0
Antigua and Barbuda,0
Argentina,2445
Armenia,290
Aruba,26
Australia,1543
Austria,4460
Azerbaijan,1117
Bahamas,0
Bahrain,40
Bangladesh,177
Barbados,72
Belarus,1837
Belgium,0
Belize,0
Benin,0
Bermuda,0
Bhutan,0
Bolivia,1878
Bonaire Sint Eustatius and Saba,10
Bosnia and Herzegovina,0
Botswana,0
Brazil,2684
British Virgin Islands,0
Brunei,60
Bulgaria,1073
Burkina Faso,0
Burundi,0
Cambodia,16
Cameroon,0
Canada,5330
Cape Verde,7
Cayman Islands,32
Central African Republic,0
Chad,0
Chile,2857
China,75
Colombia,1813
Comoros,4
Congo,0
Cook Islands,0
Costa Rica,0
Cote d'Ivoire,14
Croatia,3860
Cuba,73
Curacao,12
Cyprus,428
Czechia,12445
Democratic Republic of Congo,0
Denmark,5606
Djibouti,0
Dominica,0
Dominican Republic,225
Ecuador,0
Egypt,879
El Salvador,0
Equatorial Guinea,0
Eritrea,13
Estonia,456
Eswatini,1002
Ethiopia,132
Faeroe Islands,0
Falkland Islands,0
Fiji,0
Finland,0
France,53919
French Polynesia,0
Gabon,40
Gambia,0
Georgia,3542
Germany,32752
Ghana,166
Gibraltar,23
Greece,4751
Greenland,39
Grenada,0
Guatemala,324
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,0
Honduras,0
Hong Kong,1
Hungary,0
Iceland,0
India,7877
Indonesia,228
International,0
Iran,1681
Iraq,250
Ireland,4004
Isle of Man,78
Israel,356
Italy,21035
Jamaica,73
Japan,131
Jordan,2708
Kazakhstan,554
Kenya,202
Kiribati,0
Kosovo,10
Kuwait,35
Kyrgyzstan,68
Laos,1898
Latvia,805
Lebanon,1790
Lesotho,0
Liberia,0
Libya,0
Liechtenstein,0
Lithuania,1720
Low income,1896
Luxembourg,0
Macao,0
Madagascar,994
Malawi,83
Malaysia,4626
Maldives,218
Mali,100
Malta,111
Marshall Islands,0
Mauritania,36
Mauritius,60
Mexico,2992
Micronesia (country),0
Moldova,389
Monaco,39
Mongolia,441
Montenegro,202
Montserrat,0
Morocco,113
Mozambique,443
Myanmar,357
Namibia,1041
Nepal,194
Netherlands,17712
New Caledonia,0
New Zealand,103
Nicaragua,0
Niger,0
Nigeria,612
North Macedonia,377
Norway,3477
Oman,0
Pakistan,288
Palau,0
Palestine,0
Panama,356
Papua New Guinea,0
Paraguay,0
Peru,1819
Philippines,160
Poland,23762
Portugal,5373
Qatar,158
Romania,0
Russia,29815
Rwanda,28
Saint Helena,0
Saint Kitts and Nevis,1
Saint Lucia,0
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,53
Senegal,11
Serbia,1309
Seychelles,0
Sierra Leone,0
Singapore,559
Slovakia,7379
Slovenia,1480
Solomon Islands,0
Somalia,0
South Africa,17153
South Korea,6688
South Sudan,0
Spain,-83
Sri Lanka,762
Sudan,0
Suriname,0
Sweden,0
Switzerland,0
Syria,88
Taiwan,10
Tajikistan,0
Tanzania,0
Thailand,3787
Timor,0
Togo,0
Tonga,0
Trinidad and Tobago,812
Tunisia,187
Turkey,19255
Turks and Caicos Islands,11
Uganda,0
Ukraine,10606
United Arab Emirates,78
United Kingdom,52279
United States,54763
Uruguay,234
Uzbekistan,278
Vanuatu,0
Vatican,0
Venezuela,774
Vietnam,16141
Wallis and Futuna,0
Yemen,7
Zambia,235
Zimbabwe,9185
