country,total_cases
Afghanistan,15
Albania,138
Algeria,210
Andorra,0
Angola,0
Anguilla,0
Antigua and Barbuda,0
Argentina,3512
Armenia,66
Aruba,0
Australia,1970
Austria,4170
Azerbaijan,518
Bahamas,26
Bahrain,0
Bangladesh,385
Barbados,74
Belarus,1011
Belgium,29421
Belize,0
Benin,0
Bermuda,0
Bhutan,0
Bolivia,0
Bonaire Sint Eustatius and Saba,0
Bosnia and Herzegovina,923
Botswana,0
Brazil,2770
British Virgin Islands,26
Brunei,14
Bulgaria,0
Burkina Faso,0
Burundi,220
Cambodia,15
Cameroon,0
Canada,8005
Cape Verde,0
Cayman Islands,0
Central African Republic,49
Chad,0
Chile,1361
China,76
Colombia,2287
Comoros,2
Congo,0
Cook Islands,0
Costa Rica,0
Cote d'Ivoire,0
Croatia,453
Cuba,65
Curacao,9
Cyprus,715
Czechia,4113
Democratic Republic of Congo,0
Denmark,7799
Djibouti,0
Dominica,0
Dominican Republic,147
Ecuador,0
Egypt,0
El Salvador,73
Equatorial Guinea,0
Eritrea,10
Estonia,317
Eswatini,866
Ethiopia,125
Faeroe Islands,41
Falkland Islands,0
Fiji,16
Finland,4306
France,12064
French Polynesia,0
Gabon,0
Gambia,0
Georgia,1527
Germany,35423
Ghana,0
Gibraltar,21
Greece,3829
Greenland,45
Grenada,0
Guatemala,8
Guinea,0
Guinea-Bissau,0
Guyana,0
Haiti,14
Honduras,192
Hong Kong,2
Hungary,16017
Iceland,388
India,5784
Indonesia,106
International,0
Iran,2706
Iraq,522
Ireland,4683
Isle of Man,55
Israel,800
Italy,12704
Jamaica,37
Japan,67
Jordan,5256
Kazakhstan,399
Kenya,149
Kiribati,0
Kosovo,8
Kuwait,0
Kyrgyzstan,26
Laos,1138
Latvia,271
Lebanon,787
Lesotho,0
Liberia,9
Libya,711
Liechtenstein,74
Lithuania,831
Low income,1227
Luxembourg,871
Macao,0
Madagascar,0
Malawi,115
Malaysia,3504
Maldives,127
Mali,36
Malta,78
Marshall Islands,0
Mauritania,28
Mauritius,38
Mexico,855
Micronesia (country),0
Moldova,344
Monaco,21
Mongolia,0
Montenegro,113
Montserrat,0
Morocco,62
Mozambique,113
Myanmar,250
Namibia,241
Nepal,313
Netherlands,13783
New Caledonia,36
New Zealand,81
Nicaragua,0
Niger,9
Nigeria,0
North Macedonia,82
Norway,0
Oman,10
Pakistan,250
Palau,0
Palestine,768
Panama,0
Papua New Guinea,10
Paraguay,178
Peru,0
Philippines,211
Poland,11377
Portugal,2314
Qatar,169
Romania,494
Russia,29208
Rwanda,0
Saint Helena,0
Saint Kitts and Nevis,0
Saint Lucia,12
Saint Pierre and Miquelon,1
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,64
Senegal,6
Serbia,1167
Seychelles,95
Sierra Leone,1
Singapore,339
Slovakia,2916
Slovenia,681
Solomon Islands,0
Somalia,0
South Africa,13288
South Korea,5564
South Sudan,31
Spain,49802
Sri Lanka,747
Sudan,348
Suriname,0
Sweden,0
Switzerland,23440
Syria,0
Taiwan,5
Tajikistan,0
Tanzania,0
Thailand,3398
Timor,0
Togo,16
Tonga,0
Trinidad and Tobago,0
Tunisia,0
Turkey,18796
Turks and Caicos Islands,0
Uganda,127
Ukraine,4423
United Arab Emirates,92
United Kingdom,53953
United States,187285
Uruguay,0
Uzbekistan,211
Vanuatu,0
Vatican,0
Venezuela,0
Vietnam,15377
Wallis and Futuna,0
Yemen,3
Zambia,157
Zimbabwe,0
