country,total_cases
Afghanistan,23
Albania,328
Algeria,172
Andorra,0
Angola,15
Anguilla,0
Antigua and Barbuda,0
Argentina,1294
Armenia,327
Aruba,18
Australia,1285
Austria,5192
Azerbaijan,1394
Bahamas,0
Bahrain,28
Bangladesh,373
Barbados,131
Belarus,1757
Belgium,0
Belize,0
Benin,0
Bermuda,0
Bhutan,0
Bolivia,531
Bonaire Sint Eustatius and Saba,14
Bosnia and Herzegovina,0
Botswana,0
Brazil,4693
British Virgin Islands,0
Brunei,22
Bulgaria,706
Burkina Faso,0
Burundi,0
Cambodia,24
Cameroon,0
Canada,2382
Cape Verde,11
Cayman Islands,0
Central African Republic,0
Chad,0
Chile,1927
China,61
Colombia,2077
Comoros,14
Congo,0
Cook Islands,0
Costa Rica,0
Cote d'Ivoire,7
Croatia,2796
Cuba,88
Curacao,15
Cyprus,307
Czechia,11006
Democratic Republic of Congo,0
Denmark,3026
Djibouti,0
Dominica,0
Dominican Republic,271
Ecuador,0
Egypt,902
El Salvador,0
Equatorial Guinea,0
Eritrea,0
Estonia,339
Eswatini,136
Ethiopia,125
Faeroe Islands,120
Falkland Islands,0
Fiji,0
Finland,0
France,42153
French Polynesia,0
Gabon,0
Gambia,0
Georgia,3410
Germany,22945
Ghana,0
Gibraltar,11
Greece,3526
Greenland,0
Grenada,1
Guatemala,310
Guinea,0
Guinea-Bissau,0
Guyana,42
Haiti,0
Honduras,0
Hong Kong,9
Hungary,0
Iceland,0
India,17201
Indonesia,196
International,0
Iran,3109
Iraq,457
Ireland,5156
Isle of Man,65
Israel,473
Italy,15010
Jamaica,48
Japan,104
Jordan,4555
Kazakhstan,653
Kenya,29
Kiribati,0
Kosovo,3
Kuwait,27
Kyrgyzstan,42
Laos,1364
Latvia,477
Lebanon,1654
Lesotho,0
Liberia,0
Libya,709
Liechtenstein,31
Lithuania,1525
Low income,453
Luxembourg,0
Macao,0
Madagascar,0
Malawi,15
Malaysia,4298
Maldives,116
Mali,103
Malta,69
Marshall Islands,0
Mauritania,48
Mauritius,117
Mexico,3811
Micronesia (country),0
Moldova,94
Monaco,6
Mongolia,139
Montenegro,183
Montserrat,0
Morocco,90
Mozambique,56
Myanmar,285
Namibia,158
Nepal,200
Netherlands,23078
New Caledonia,0
New Zealand,136
Nicaragua,0
Niger,19
Nigeria,55
North Macedonia,276
Norway,1530
Oman,22
Pakistan,336
Palau,0
Palestine,0
Panama,510
Papua New Guinea,148
Paraguay,0
Peru,769
Philippines,481
Poland,22394
Portugal,3786
Qatar,152
Romania,916
Russia,32013
Rwanda,10
Saint Helena,0
Saint Kitts and Nevis,1
Saint Lucia,7
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,44
Samoa,0
San Marino,0
Sao Tome and Principe,1
Saudi Arabia,35
Senegal,11
Serbia,1244
Seychelles,0
Sierra Leone,0
Singapore,552
Slovakia,8572
Slovenia,1119
Solomon Islands,0
Somalia,0
South Africa,11125
South Korea,4324
South Sudan,0
Spain,0
Sri Lanka,746
Sudan,0
Suriname,16
Sweden,0
Switzerland,0
Syria,81
Taiwan,4
Tajikistan,0
Tanzania,0
Thailand,8704
Timor,0
Togo,13
Tonga,0
Trinidad and Tobago,601
Tunisia,165
Turkey,19357
Turks and Caicos Islands,0
Uganda,4
Ukraine,7211
United Arab Emirates,114
United Kingdom,43285
United States,49801
Uruguay,104
Uzbekistan,228
Vanuatu,0
Vatican,0
Venezuela,785
Vietnam,14314
Wallis and Futuna,0
Yemen,4
Zambia,18
Zimbabwe,523
