country,total_cases
Afghanistan,34
Albania,346
Algeria,188
Andorra,0
Angola,31
Anguilla,0
Antigua and Barbuda,3
Argentina,1881
Armenia,410
Aruba,21
Australia,1654
Austria,5663
Azerbaijan,1210
Bahamas,0
Bahrain,41
Bangladesh,277
Barbados,127
Belarus,1756
Belgium,18714
Belize,42
Benin,0
Bermuda,7
Bhutan,1
Bolivia,0
Bonaire Sint Eustatius and Saba,0
Bosnia and Herzegovina,641
Botswana,0
Brazil,10132
British Virgin Islands,0
Brunei,15
Bulgaria,1652
Burkina Faso,0
Burundi,0
Cambodia,14
Cameroon,401
Canada,3644
Cape Verde,10
Cayman Islands,61
Central African Republic,0
Chad,0
Chile,1387
China,83
Colombia,1915
Comoros,6
Congo,0
Cook Islands,0
Costa Rica,0
Cote d'Ivoire,13
Croatia,4751
Cuba,78
Curacao,15
Cyprus,576
Czechia,19546
Democratic Republic of Congo,0
Denmark,6629
Djibouti,1
Dominica,90
Dominican Republic,230
Ecuador,670
Egypt,909
El Salvador,0
Equatorial Guinea,0
Eritrea,20
Estonia,467
Eswatini,895
Ethiopia,126
Faeroe Islands,81
Falkland Islands,0
Fiji,5
Finland,1296
France,61340
French Polynesia,0
Gabon,40
Gambia,0
Georgia,4226
Germany,27482
Ghana,0
Gibraltar,34
Greece,5899
Greenland,83
Grenada,1
Guatemala,418
Guinea,0
Guinea-Bissau,1
Guyana,72
Haiti,53
Honduras,0
Hong Kong,0
Hungary,6849
Iceland,131
India,9419
Indonesia,264
International,0
Iran,3309
Iraq,606
Ireland,4126
Isle of Man,83
Israel,755
Italy,17946
Jamaica,24
Japan,122
Jordan,5180
Kazakhstan,798
Kenya,108
Kiribati,0
Kosovo,10
Kuwait,33
Kyrgyzstan,32
Laos,1209
Latvia,796
Lebanon,1994
Lesotho,0
Liberia,3
Libya,509
Liechtenstein,109
Lithuania,2079
Low income,1031
Luxembourg,666
Macao,0
Madagascar,0
Malawi,38
Malaysia,5020
Maldives,128
Mali,141
Malta,87
Marshall Islands,0
Mauritania,48
Mauritius,59
Mexico,3304
Micronesia (country),0
Moldova,609
Monaco,0
Mongolia,310
Montenegro,196
Montserrat,0
Morocco,145
Mozambique,206
Myanmar,398
Namibia,0
Nepal,255
Netherlands,18066
New Caledonia,18
New Zealand,105
Nicaragua,0
Niger,20
Nigeria,268
North Macedonia,419
Norway,5259
Oman,23
Pakistan,350
Palau,0
Palestine,337
Panama,332
Papua New Guinea,40
Paraguay,0
Peru,0
Philippines,439
Poland,28549
Portugal,5286
Qatar,163
Romania,1279
Russia,30228
Rwanda,15
Saint Helena,0
Saint Kitts and Nevis,0
Saint Lucia,15
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,0
Sao Tome and Principe,0
Saudi Arabia,46
Senegal,7
Serbia,1675
Seychelles,61
Sierra Leone,0
Singapore,709
Slovakia,10724
Slovenia,1886
Solomon Islands,0
Somalia,0
South Africa,19842
South Korea,7100
South Sudan,16
Spain,0
Sri Lanka,757
Sudan,236
Suriname,31
Sweden,3335
Switzerland,12425
Syria,100
Taiwan,5
Tajikistan,0
Tanzania,39
Thailand,7821
Timor,0
Togo,24
Tonga,0
Trinidad and Tobago,881
Tunisia,170
Turkey,20874
Turks and Caicos Islands,7
Uganda,47
Ukraine,9895
United Arab Emirates,69
United Kingdom,50811
United States,150872
Uruguay,300
Uzbekistan,201
Vanuatu,0
Vatican,0
Venezuela,364
Vietnam,14599
Wallis and Futuna,0
Yemen,4
Zambia,62
Zimbabwe,9027
