country,total_cases
Afghanistan,18
Albania,352
Algeria,210
Andorra,168
Angola,25
Anguilla,54
Antigua and Barbuda,8
Argentina,3573
Armenia,347
Aruba,18
Australia,1757
Austria,3659
Azerbaijan,1109
Bahamas,22
Bahrain,33
Bangladesh,269
Barbados,103
Belarus,1801
Belgium,15245
Belize,42
Benin,0
Bermuda,4
Bhutan,1
Bolivia,1746
Bonaire Sint Eustatius and Saba,10
Bosnia and Herzegovina,511
Botswana,0
Brazil,7065
British Virgin Islands,0
Brunei,-18
Bulgaria,1719
Burkina Faso,0
Burundi,56
Cambodia,15
Cameroon,0
Canada,3292
Cape Verde,7
Cayman Islands,0
Central African Republic,170
Chad,0
Chile,0
China,87
Colombia,1687
Comoros,4
Congo,0
Cook Islands,0
Costa Rica,89
Cote d'Ivoire,19
Croatia,3797
Cuba,65
Curacao,20
Cyprus,662
Czechia,14295
Democratic Republic of Congo,643
Denmark,6599
Djibouti,0
Dominica,25
Dominican Republic,372
Ecuador,739
Egypt,822
El Salvador,0
Equatorial Guinea,13
Eritrea,33
Estonia,588
Eswatini,835
Ethiopia,157
Faeroe Islands,63
Falkland Islands,0
Fiji,10
Finland,1794
France,55140
French Polynesia,0
Gabon,0
Gambia,0
Georgia,3454
Germany,53296
Ghana,0
Gibraltar,22
Greece,5087
Greenland,0
Grenada,3
Guatemala,516
Guinea,0
Guinea-Bissau,2
Guyana,51
Haiti,0
Honduras,0
Hong Kong,4
Hungary,6884
Iceland,107
India,7990
Indonesia,192
International,0
Iran,2971
Iraq,545
Ireland,4097
Isle of Man,95
Israel,585
Italy,20490
Jamaica,51
Japan,136
Jordan,4936
Kazakhstan,634
Kenya,136
Kiribati,0
Kosovo,7
Kuwait,29
Kyrgyzstan,53
Laos,1645
Latvia,650
Lebanon,1563
Lesotho,610
Liberia,3
Libya,577
Liechtenstein,68
Lithuania,1729
Low income,2028
Luxembourg,369
Macao,0
Madagascar,0
Malawi,59
Malaysia,5058
Maldives,92
Mali,75
Malta,88
Marshall Islands,0
Mauritania,38
Mauritius,68
Mexico,0
Micronesia (country),0
Moldova,516
Monaco,48
Mongolia,0
Montenegro,219
Montserrat,0
Morocco,175
Mozambique,379
Myanmar,621
Namibia,1000
Nepal,232
Netherlands,17475
New Caledonia,22
New Zealand,160
Nicaragua,0
Niger,18
Nigeria,1287
North Macedonia,361
Norway,5413
Oman,0
Pakistan,395
Palau,0
Palestine,296
Panama,127
Papua New Guinea,0
Paraguay,70
Peru,1356
Philippines,204
Poland,24988
Portugal,3742
Qatar,163
Romania,931
Russia,30383
Rwanda,39
Saint Helena,0
Saint Kitts and Nevis,3
Saint Lucia,19
Saint Pierre and Miquelon,3
Saint Vincent and the Grenadines,47
Samoa,0
San Marino,107
Sao Tome and Principe,0
Saudi Arabia,48
Senegal,11
Serbia,1387
Seychelles,0
Sierra Leone,1
Singapore,454
Slovakia,7935
Slovenia,1323
Solomon Islands,0
Somalia,23
South Africa,19017
South Korea,6977
South Sudan,31
Spain,17095
Sri Lanka,754
Sudan,123
Suriname,18
Sweden,3162
Switzerland,10134
Syria,93
Taiwan,17
Tajikistan,0
Tanzania,0
Thailand,4079
Timor,0
Togo,15
Tonga,0
Trinidad and Tobago,898
Tunisia,241
Turkey,18561
Turks and Caicos Islands,0
Uganda,81
Ukraine,11817
United Arab Emirates,74
United Kingdom,58352
United States,170738
Uruguay,252
Uzbekistan,148
Vanuatu,0
Vatican,0
Venezuela,511
Vietnam,14839
Wallis and Futuna,0
Yemen,9
Zambia,162
Zimbabwe,0
